[Wed Oct  8 10:29:35.223 2008] 0.074 sec [all/1/rel 0 (0,20)] [*] sphinx
[Wed Oct  8 10:29:45.198 2008] 0.034 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:29:56.541 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] were
[Wed Oct  8 10:30:01.746 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] catapler
[Wed Oct  8 10:30:08.651 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:35:47.880 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:36:16.465 2008] 0.001 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:36:41.626 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:36:48.547 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] qwew
[Wed Oct  8 10:36:56.529 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:38:15.777 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] task_struct
[Wed Oct  8 10:38:31.543 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] task_struct
[Wed Oct  8 10:38:40.959 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:38:57.701 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:39:03.259 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:39:43.884 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:39:57.447 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:40:20.976 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:40:38.154 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:40:56.457 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:41:19.803 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:42:23.451 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:43:04.900 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:47:19.255 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:48:54.403 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:49:25.269 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:49:48.889 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 10:51:34.382 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] wer
[Wed Oct  8 10:51:38.163 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] funny
[Wed Oct  8 10:52:09.628 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] funny
[Wed Oct  8 10:52:14.229 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] funny
[Wed Oct  8 10:52:48.984 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] funny
[Wed Oct  8 10:53:54.278 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] wer
[Wed Oct  8 10:54:01.387 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Wed Oct  8 15:21:30.849 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] wer
[Wed Oct  8 15:21:35.321 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] superman
[Fri Oct 10 23:28:15.909 2008] 0.300 sec [all/1/rel 1 (0,20)] [*] superman
[Sat Oct 11 01:16:00.258 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] funny
[Sat Oct 11 01:16:09.307 2008] 0.013 sec [all/1/rel 1 (0,20)] [*] superman
[Sat Oct 11 01:29:01.541 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] funny
